Player,Round,Rating,ACS,Kills:Death,KAST%,ADR,KPR,APR,FKPR,FDPR,HS%,KMax,K,D,A,FK,FD,Clutch_Won,Clutch_Attempted,CL%,Role,Region
t3xture GEN,255,1.23,258.2,1.44,74.00%,159.5,0.94,0.19,0.21,0.17,28%,27,239,166,48,54,43,7,19,37%,Duelist,APAC
Spring WOL,349,1.21,244.1,1.23,74.00%,160.1,0.85,0.32,0.13,0.09,29%,26,295,240,111,47,31,2,29,7%,Controller,CN
Verno MIBR,71,1.18,230.5,1.02,70.00%,157.6,0.79,0.3,0.04,0.04,28%,19,56,55,21,3,3,3,22,14%,Initiator,Americas
Alfajer FNC,419,1.17,257.9,1.3,73.00%,167.6,0.94,0.14,0.17,0.11,32%,29,392,301,60,73,45,4,33,12%,Flex,EMEA
trent G2,198,1.17,214.2,1.22,81.00%,138,0.77,0.25,0.1,0.07,35%,22,152,125,49,19,13,4,30,13%,Initiator,Americas
zekken SEN,249,1.17,237.5,1.21,74.00%,147.2,0.81,0.26,0.19,0.21,24%,27,202,167,65,47,53,3,18,17%,Duelist,Americas
leaf G2,198,1.15,230.3,1.21,75.00%,148.6,0.81,0.26,0.08,0.08,24%,24,161,133,51,15,16,10,35,29%,Sentinel,Americas
Chronicle FNC,419,1.13,207.6,1.18,72.00%,141.1,0.72,0.3,0.08,0.06,26%,27,302,257,127,35,25,7,51,14%,Flex,EMEA
whzy BLG,179,1.13,253.1,1.21,68.00%,155.5,0.89,0.16,0.19,0.17,28%,29,160,132,29,34,31,2,16,13%,Duelist,CN
f0rsaken PRX,387,1.12,208.9,1.06,74.00%,137.5,0.72,0.4,0.1,0.08,26%,25,280,263,156,37,31,9,29,31%,Flex,APAC
Jinggg PRX,387,1.1,229.1,1.15,73.00%,151.9,0.78,0.26,0.14,0.13,23%,26,303,264,100,54,50,2,25,8%,Duelist,APAC
Keiko TL,187,1.1,199.3,1.17,72.00%,132.9,0.76,0.17,0.09,0.07,45%,29,142,121,32,16,13,4,31,13%,Flex,EMEA
N4RRATE SEN,249,1.08,219.5,1.06,75.00%,140.1,0.74,0.34,0.06,0.09,24%,21,185,174,85,16,23,5,20,25%,Initiator,Americas
d4v41 PRX,387,1.07,189.4,1.12,73.00%,131.7,0.72,0.23,0.05,0.07,26%,29,277,247,88,21,26,6,61,10%,Sentinel,APAC
kaajak FNC,419,1.06,218.3,1.13,71.00%,141.5,0.78,0.16,0.19,0.16,35%,32,327,290,66,79,65,7,39,18%,Duelist,EMEA
happywei XLG,75,1.06,223,0.97,61.00%,147,0.76,0.17,0.16,0.15,45%,20,57,59,13,12,11,2,17,12%,Sentinel,CN
rushia BLG,179,1.03,201.9,0.99,72.00%,130.6,0.7,0.38,0.12,0.08,27%,23,126,127,68,22,15,2,21,10%,Controller,CN
Karon GEN,255,1.03,189.3,1.09,76.00%,125.6,0.69,0.32,0.09,0.09,31%,24,176,161,81,22,23,4,35,11%,Controller,APAC
crashies FNC,419,1.03,181.8,1.07,74.00%,126.4,0.65,0.29,0.05,0.03,34%,26,273,254,120,20,11,5,51,10%,Initiator,EMEA
Ash GEN,255,1.03,173.9,1.05,74.00%,118.3,0.62,0.22,0.05,0.03,31%,19,158,150,57,14,7,5,33,15%,Initiator,APAC
PatMen PRX,387,1.02,193,1.02,73.00%,124.2,0.68,0.32,0.06,0.08,31%,22,263,257,123,24,32,10,41,24%,Initiator,APAC
penny TL,121,1.01,188.4,0.98,73.00%,131.3,0.67,0.29,0.12,0.1,20%,30,81,83,35,15,12,2,9,22%,Duelist,EMEA
bang SEN,249,0.99,188.1,0.99,72.00%,112.5,0.69,0.33,0.08,0.08,34%,19,171,172,83,21,19,3,21,14%,Controller,Americas
johnqt SEN,249,0.99,166.3,0.94,77.00%,109.7,0.59,0.38,0.05,0.07,26%,18,147,156,95,13,17,3,36,8%,Initiator,Americas
Zellsis SEN,249,0.99,173.6,0.95,70.00%,118.2,0.61,0.28,0.07,0.09,21%,20,152,160,69,17,23,4,33,12%,Sentinel,Americas
Munchkin GEN,255,0.99,207.8,1.02,72.00%,134.1,0.68,0.35,0.1,0.1,22%,21,174,170,90,25,26,1,19,5%,Controller,APAC
jawgemo G2,198,0.98,217.1,1,72.00%,143.7,0.73,0.25,0.16,0.19,23%,19,144,144,50,32,38,0,11,0%,Duelist,Americas
Monyet RRQ,100,0.97,196.4,0.89,67.00%,130.3,0.66,0.31,0.05,0.13,26%,17,66,74,31,5,13,0,9,0%,Controller,APAC
kamo TL,187,0.96,210.8,0.99,70.00%,141.9,0.75,0.2,0.16,0.17,35%,26,140,141,38,30,32,1,5,20%,Duelist,EMEA
something PRX,387,0.95,192.2,1,73.00%,123.9,0.68,0.2,0.14,0.15,25%,22,265,265,78,54,58,3,39,8%,Duelist,APAC
Juicy WOL,349,0.94,212,1,67.00%,139.5,0.74,0.19,0.19,0.17,25%,23,260,260,65,65,51,5,16,31%,Duelist,CN
Wo0t TH,81,0.93,183,0.86,68.00%,118.9,0.63,0.36,0.1,0.15,34%,17,51,59,29,8,12,1,10,10%,Initiator,EMEA
valyn G2,198,0.93,172.1,0.86,75.00%,109.6,0.61,0.37,0.07,0.08,22%,20,121,140,73,14,16,1,18,6%,Controller,Americas
nephh BLG,179,0.93,178.6,0.86,72.00%,117.9,0.59,0.46,0.07,0.08,22%,21,106,122,82,12,14,3,18,17%,Initiator,CN
JonahP G2,198,0.91,178.8,0.87,76.00%,113.2,0.61,0.39,0.04,0.14,24%,20,120,133,77,8,27,1,13,8%,Initiator,Americas
SiuFatBB WOL,349,0.91,151.1,0.9,70.00%,99.9,0.54,0.25,0.03,0.05,28%,17,190,217,88,12,16,15,65,23%,Initiator,CN
Lysoar WOL,349,0.91,174.5,0.88,72.00%,112.1,0.6,0.33,0.08,0.06,25%,19,211,241,115,28,22,5,38,13%,Flex,CN
paTiTek TL,187,0.91,183.1,0.88,72.00%,117.7,0.61,0.21,0.09,0.07,27%,23,114,130,39,17,14,2,24,8%,Initiator,EMEA
Levius BLG,179,0.9,158.1,0.94,70.00%,111.4,0.59,0.16,0.03,0.11,23%,19,105,112,28,5,19,0,26,0%,Sentinel,CN
xffero RRQ,100,0.9,175.2,0.89,65.00%,118.8,0.64,0.17,0.07,0.07,32%,15,64,72,17,7,7,1,13,8%,Sentinel,CN
Yuicaw WOL,349,0.89,175,0.89,63.00%,117.3,0.62,0.19,0.09,0.1,27%,24,218,244,68,33,34,4,47,9%,Sentinel,CN
nAts TL,111,0.88,186,0.88,74.00%,121.2,0.64,0.2,0.08,0.05,28%,18,71,81,22,9,6,2,17,12%,Sentinel,EMEA
Kushy RRQ,100,0.88,174,0.86,70.00%,114,0.62,0.22,0.01,0.05,39%,23,62,72,22,1,5,2,12,17%,Initiator,APAC
Foxy9 GEN,255,0.88,179.2,0.98,71.00%,111.6,0.65,0.18,0.08,0.08,32%,21,167,170,46,20,21,7,25,28%,Sentinel,APAC
Rarga XLG,75,0.86,217,0.88,64.00%,136.1,0.76,0.16,0.2,0.25,41%,20,57,65,12,15,19,2,6,33%,Duelist,CN
benjyfishy TH,81,0.85,178.8,0.85,62.00%,119.9,0.63,0.11,0.12,0.06,30%,18,51,60,9,10,5,2,12,17%,Sentinel,EMEA
RieNs TH,81,0.85,191.5,0.84,63.00%,125,0.63,0.25,0.09,0.12,28%,17,51,61,20,7,10,0,7,0%,Initiator,EMEA
Jemkin RRQ,100,0.85,196.8,0.88,66.00%,138.2,0.69,0.14,0.21,0.16,33%,19,69,78,14,21,16,0,5,0%,Duelist,APAC
Boaster FNC,419,0.84,143.4,0.76,72.00%,94.4,0.47,0.36,0.08,0.08,25%,21,199,261,149,33,33,3,35,9%,Controller,EMEA
Knight BLG,179,0.83,149.1,0.81,69.00%,105,0.51,0.23,0.06,0.09,26%,18,92,113,42,11,16,1,15,7%,Initiator,CN
Serial TL,142,0.83,155.2,0.84,66.00%,103.1,0.57,0.16,0.09,0.07,45%,20,81,97,23,13,10,6,19,32%,Flex,EMEA
Boo TH,81,0.76,139.5,0.7,62.00%,86.7,0.48,0.43,0.02,0.1,38%,14,39,56,35,2,8,1,17,6%,Controller,EMEA
crazyguy RRQ,100,0.75,144.2,0.65,64.00%,90.7,0.47,0.34,0.11,0.14,25%,11,47,72,34,11,14,2,22,9%,Initiator,APAC
MiniBoo TH,81,0.74,167.5,0.81,60.00%,105.6,0.64,0.09,0.12,0.011,31%,19,52,64,7,10,9,0,8,0%,Duelist,EMEA
xenom MIBR,71,0.71,148.3,0.65,63.00%,101.7,0.55,0.15,0.06,0.11,35%,15,39,60,11,4,10,0,12,0%,Controller,Americas
cortezia MIBR,71,0.69,164,0.66,59.00%,115.2,0.55,0.17,0.1,0.14,33%,12,39,59,12,7,10,0,10,0%,Sentinel,Americas
Viva XLG,75,0.67,147,0.51,59.00%,107.6,0.44,0.28,0.05,0.03,27%,11,33,65,21,4,2,0,16,0%,Initiator,CN
coconut XLG,75,0.65,128.3,0.57,65.00%,92.6,0.45,0.29,0.01,0.08,26%,12,34,60,22,1,6,3,13,23%,Controller,CN
Midi XLG,75,0.59,132,0.58,61.00%,88.8,0.48,0.19,0.04,0.03,34%,14,36,62,14,3,2,0,5,0%,Initiator,CN
aspas MIBR,71,0.53,129.8,0.53,59.00%,88.8,0.44,0.17,0.07,0.21,18%,10,31,59,12,5,15,1,5,20%,Duelist,Americas
artzin MIBR,71,0.51,121.5,0.52,66.00%,86.3,0.44,0.25,0.04,0.15,26%,12,31,60,18,3,11,0,5,0%,Flex,Americas
